protocol,file,application_flow_count,tx_packets,rx_packets,lost_packets,tx_bytes,rx_bytes,throughput_bps,throughput_mbps,pdr_percent,loss_percent,avg_delay_s,avg_delay_ms,avg_jitter_s,avg_jitter_ms
AODV,final1000_AODV_128.xml,2,29298,13954,15280,15820920,7535160,861161.1428571428,0.8611611428571428,47.62782442487542,52.37217557512458,0.0034198946538626916,3.4198946538626918,0.00017598165400601977,0.17598165400601978
AODV,final1000_AODV_129.xml,2,29298,26441,2748,15820920,14278140,1631787.4285714286,1.6317874285714287,90.24848112499146,9.751518875008532,0.03303668545062592,33.036685450625924,0.001812469271207594,1.812469271207594
AODV,final1000_AODV_13.xml,2,29298,10386,17643,15820920,5608440,640964.5714285715,0.6409645714285714,35.44951873848044,64.55048126151955,0.07475996533795494,74.75996533795494,0.003410896398998652,3.410896398998652
AODV,final1000_AODV_130.xml,2,29298,0,29170,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_131.xml,2,29298,18144,8641,15820920,9797760,1119744.0,1.119744,61.92914192095024,38.07085807904976,0.029289517195767195,29.289517195767196,0.001110351631393298,1.110351631393298
AODV,final1000_AODV_132.xml,2,29298,6001,23233,15820920,3240540,370347.4285714286,0.3703474285714286,20.482626800464196,79.5173731995358,0.08100666555574071,81.00666555574071,0.0014799400099983334,1.4799400099983335
AODV,final1000_AODV_133.xml,2,29298,3488,25672,15820920,1883520,215259.42857142858,0.21525942857142857,11.905249505085672,88.09475049491434,0.028723337155963303,28.723337155963304,0.0016538761467889908,1.6538761467889909
AODV,final1000_AODV_134.xml,2,29298,3806,23049,15820920,2055240,234884.57142857142,0.23488457142857141,12.990647825790155,87.00935217420984,0.018289040987913823,18.289040987913822,0.0014104658434051498,1.4104658434051498
AODV,final1000_AODV_135.xml,2,29298,4124,25034,15820920,2226960,254509.7142857143,0.2545097142857143,14.076046146494642,85.92395385350537,0.0022040058195926288,2.204005819592629,0.00048322017458777883,0.48322017458777883
AODV,final1000_AODV_136.xml,2,29298,1914,27247,15820920,1033560,118121.14285714286,0.11812114285714286,6.532869137825108,93.4671308621749,0.0032734117032392897,3.2734117032392898,0.00024714263322884013,0.24714263322884014
AODV,final1000_AODV_137.xml,2,29298,3810,25360,15820920,2057400,235131.42857142858,0.23513142857142857,13.004300634855623,86.99569936514438,0.05155485564304462,51.55485564304462,0.0014881286089238844,1.4881286089238843
AODV,final1000_AODV_138.xml,2,29298,3111,25979,15820920,1679940,191993.14285714287,0.19199314285714286,10.618472250665574,89.38152774933442,0.04206768884603022,42.067688846030215,0.0025171623272259723,2.5171623272259724
AODV,final1000_AODV_139.xml,2,29298,4880,24087,15820920,2635200,301165.71428571426,0.30116571428571426,16.656427059867568,83.34357294013243,0.024485647540983604,24.485647540983603,0.0007126668032786885,0.7126668032786885
AODV,final1000_AODV_14.xml,2,29298,11997,16884,15820920,6478380,740386.2857142857,0.7403862857142857,40.94818758959656,59.051812410403436,0.026315245478036178,26.31524547803618,0.0005490055847295158,0.5490055847295158
AODV,final1000_AODV_140.xml,2,29298,16639,12469,15820920,8985060,1026864.0,1.026864,56.79227251006894,43.20772748993105,0.05472510367209568,54.725103672095685,0.0013026756415649978,1.3026756415649978
AODV,final1000_AODV_141.xml,2,29298,6843,22391,15820920,3695220,422310.85714285716,0.42231085714285715,23.356543108744624,76.64345689125538,0.05577997954113692,55.77997954113692,0.0005753269034049393,0.5753269034049393
AODV,final1000_AODV_142.xml,2,29298,0,29170,15820920,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
AODV,final1000_AODV_143.xml,2,29298,3656,23041,15820920,1974240,225627.42857142858,0.2256274285714286,12.478667485835212,87.52133251416478,0.060837800875273525,60.83780087527352,0.0015347647702407003,1.5347647702407003
AODV,final1000_AODV_144.xml,2,29298,14507,14651,15820920,7833780,895289.1428571428,0.8952891428571429,49.515325278175986,50.48467472182402,0.0007625904735644862,0.7625904735644862,7.926518232577376e-05,0.07926518232577376
